"Item"	"Group"	"Subject"	"MatrixLeftPredicate"	"Condition"	"Color"	"altercolor"	"Buffy1"	"Buffy2"	"Actual1"	"Actual2"	"Sentence"	"Continuation"
12	10	"Again"	"Thought"	"Test-Proj"	"cyan"	"violet"	"cyan"	"cyan"	"violet"	"cyan"	"Buffy thought that, after the shake, the ball would be cyan again"	"As a matter of fact, her <em>shake</em> guess was correct"
12	11	"Again"	"Was"	"Fix"	"cyan"	"violet"	"cyan"	"cyan"	"violet"	"cyan"	"after the shake, the ball was cyan again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
13	1	"First"	"Thought"	"Good"	"green"	"brown"	"green"	"brown"	"green"	"green"	"Buffy thought that, when it was drawn, the ball was green"	"As a matter of fact, her <em>draw</em> guess was correct"
13	2	"First"	"Was"	"Good"	"green"	"brown"	"green"	"green"	"green"	"brown"	"when it was drawn, the ball was green"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
13	3	"First"	"Thought"	"Fix"	"green"	"brown"	"brown"	"green"	"green"	"green"	"Buffy thought that, when it was drawn, the ball was green"	"As a matter of fact, her <em>draw</em> guess was correct"
13	4	"First"	"Was"	"Fix"	"green"	"brown"	"green"	"green"	"brown"	"green"	"when it was drawn, the ball was green"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
13	5	"Second"	"Thought"	"Good"	"green"	"brown"	"green"	"green"	"brown"	"green"	"Buffy thought that, after the shake, the ball would be green"	"As a matter of fact, her <em>shake</em> guess was correct"
13	6	"Second"	"Was"	"Good"	"green"	"brown"	"green"	"green"	"brown"	"green"	"after the shake, the ball was green"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
13	7	"Second"	"Thought"	"Fix"	"green"	"brown"	"green"	"brown"	"green"	"green"	"Buffy thought that, after the shake, the ball would be green"	"As a matter of fact, her <em>shake</em> guess was correct"
13	8	"Second"	"Was"	"Fix"	"green"	"brown"	"green"	"green"	"green"	"brown"	"after the shake, the ball was green"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
13	9	"Again"	"Thought"	"Test-Ent"	"green"	"brown"	"brown"	"green"	"green"	"green"	"Buffy thought that, after the shake, the ball would be green again"	"As a matter of fact, her <em>shake</em> guess was correct"
13	10	"Again"	"Was"	"Good"	"green"	"brown"	"brown"	"green"	"green"	"green"	"after the shake, the ball was green again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
13	11	"Again"	"Thought"	"Test-Proj"	"green"	"brown"	"green"	"green"	"brown"	"green"	"Buffy thought that, after the shake, the ball would be green again"	"As a matter of fact, her <em>shake</em> guess was correct"
13	12	"Again"	"Was"	"Fix"	"green"	"brown"	"green"	"green"	"brown"	"green"	"after the shake, the ball was green again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
14	2	"First"	"Thought"	"Good"	"yellow"	"violet"	"yellow"	"violet"	"yellow"	"yellow"	"Buffy thought that, when it was drawn, the ball was yellow"	"As a matter of fact, her <em>draw</em> guess was correct"
14	3	"First"	"Was"	"Good"	"yellow"	"violet"	"yellow"	"yellow"	"yellow"	"violet"	"when it was drawn, the ball was yellow"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
14	4	"First"	"Thought"	"Fix"	"yellow"	"violet"	"violet"	"yellow"	"yellow"	"yellow"	"Buffy thought that, when it was drawn, the ball was yellow"	"As a matter of fact, her <em>draw</em> guess was correct"
14	5	"First"	"Was"	"Fix"	"yellow"	"violet"	"yellow"	"yellow"	"violet"	"yellow"	"when it was drawn, the ball was yellow"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
14	6	"Second"	"Thought"	"Good"	"yellow"	"violet"	"yellow"	"yellow"	"violet"	"yellow"	"Buffy thought that, after the shake, the ball would be yellow"	"As a matter of fact, her <em>shake</em> guess was correct"
14	7	"Second"	"Was"	"Good"	"yellow"	"violet"	"yellow"	"yellow"	"violet"	"yellow"	"after the shake, the ball was yellow"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
14	8	"Second"	"Thought"	"Fix"	"yellow"	"violet"	"yellow"	"violet"	"yellow"	"yellow"	"Buffy thought that, after the shake, the ball would be yellow"	"As a matter of fact, her <em>shake</em> guess was correct"
14	9	"Second"	"Was"	"Fix"	"yellow"	"violet"	"yellow"	"yellow"	"yellow"	"violet"	"after the shake, the ball was yellow"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
14	10	"Again"	"Thought"	"Test-Ent"	"yellow"	"violet"	"violet"	"yellow"	"yellow"	"yellow"	"Buffy thought that, after the shake, the ball would be yellow again"	"As a matter of fact, her <em>shake</em> guess was correct"
14	11	"Again"	"Was"	"Good"	"yellow"	"violet"	"violet"	"yellow"	"yellow"	"yellow"	"after the shake, the ball was yellow again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
14	12	"Again"	"Thought"	"Test-Proj"	"yellow"	"violet"	"yellow"	"yellow"	"violet"	"yellow"	"Buffy thought that, after the shake, the ball would be yellow again"	"As a matter of fact, her <em>shake</em> guess was correct"
14	1	"Again"	"Was"	"Fix"	"yellow"	"violet"	"yellow"	"yellow"	"violet"	"yellow"	"after the shake, the ball was yellow again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
15	3	"First"	"Thought"	"Good"	"blue"	"gold"	"blue"	"gold"	"blue"	"blue"	"Buffy thought that, when it was drawn, the ball was blue"	"As a matter of fact, her <em>draw</em> guess was correct"
15	4	"First"	"Was"	"Good"	"blue"	"gold"	"blue"	"blue"	"blue"	"gold"	"when it was drawn, the ball was blue"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
15	5	"First"	"Thought"	"Fix"	"blue"	"gold"	"gold"	"blue"	"blue"	"blue"	"Buffy thought that, when it was drawn, the ball was blue"	"As a matter of fact, her <em>draw</em> guess was correct"
15	6	"First"	"Was"	"Fix"	"blue"	"gold"	"blue"	"blue"	"gold"	"blue"	"when it was drawn, the ball was blue"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
15	7	"Second"	"Thought"	"Good"	"blue"	"gold"	"blue"	"blue"	"gold"	"blue"	"Buffy thought that, after the shake, the ball would be blue"	"As a matter of fact, her <em>shake</em> guess was correct"
15	8	"Second"	"Was"	"Good"	"blue"	"gold"	"blue"	"blue"	"gold"	"blue"	"after the shake, the ball was blue"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
15	9	"Second"	"Thought"	"Fix"	"blue"	"gold"	"blue"	"gold"	"blue"	"blue"	"Buffy thought that, after the shake, the ball would be blue"	"As a matter of fact, her <em>shake</em> guess was correct"
15	10	"Second"	"Was"	"Fix"	"blue"	"gold"	"blue"	"blue"	"blue"	"gold"	"after the shake, the ball was blue"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
15	11	"Again"	"Thought"	"Test-Ent"	"blue"	"gold"	"gold"	"blue"	"blue"	"blue"	"Buffy thought that, after the shake, the ball would be blue again"	"As a matter of fact, her <em>shake</em> guess was correct"
15	12	"Again"	"Was"	"Good"	"blue"	"gold"	"gold"	"blue"	"blue"	"blue"	"after the shake, the ball was blue again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
15	1	"Again"	"Thought"	"Test-Proj"	"blue"	"gold"	"blue"	"blue"	"gold"	"blue"	"Buffy thought that, after the shake, the ball would be blue again"	"As a matter of fact, her <em>shake</em> guess was correct"
15	2	"Again"	"Was"	"Fix"	"blue"	"gold"	"blue"	"blue"	"gold"	"blue"	"after the shake, the ball was blue again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
16	4	"First"	"Thought"	"Good"	"purple"	"red"	"purple"	"red"	"purple"	"purple"	"Buffy thought that, when it was drawn, the ball was purple"	"As a matter of fact, her <em>draw</em> guess was correct"
16	5	"First"	"Was"	"Good"	"purple"	"red"	"purple"	"purple"	"purple"	"red"	"when it was drawn, the ball was purple"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
16	6	"First"	"Thought"	"Fix"	"purple"	"red"	"red"	"purple"	"purple"	"purple"	"Buffy thought that, when it was drawn, the ball was purple"	"As a matter of fact, her <em>draw</em> guess was correct"
16	7	"First"	"Was"	"Fix"	"purple"	"red"	"purple"	"purple"	"red"	"purple"	"when it was drawn, the ball was purple"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
16	8	"Second"	"Thought"	"Good"	"purple"	"red"	"purple"	"purple"	"red"	"purple"	"Buffy thought that, after the shake, the ball would be purple"	"As a matter of fact, her <em>shake</em> guess was correct"
16	9	"Second"	"Was"	"Good"	"purple"	"red"	"purple"	"purple"	"red"	"purple"	"after the shake, the ball was purple"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
16	10	"Second"	"Thought"	"Fix"	"purple"	"red"	"purple"	"red"	"purple"	"purple"	"Buffy thought that, after the shake, the ball would be purple"	"As a matter of fact, her <em>shake</em> guess was correct"
16	11	"Second"	"Was"	"Fix"	"purple"	"red"	"purple"	"purple"	"purple"	"red"	"after the shake, the ball was purple"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
16	12	"Again"	"Thought"	"Test-Ent"	"purple"	"red"	"red"	"purple"	"purple"	"purple"	"Buffy thought that, after the shake, the ball would be purple again"	"As a matter of fact, her <em>shake</em> guess was correct"
16	1	"Again"	"Was"	"Good"	"purple"	"red"	"red"	"purple"	"purple"	"purple"	"after the shake, the ball was purple again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
16	2	"Again"	"Thought"	"Test-Proj"	"purple"	"red"	"purple"	"purple"	"red"	"purple"	"Buffy thought that, after the shake, the ball would be purple again"	"As a matter of fact, her <em>shake</em> guess was correct"
16	3	"Again"	"Was"	"Fix"	"purple"	"red"	"purple"	"purple"	"red"	"purple"	"after the shake, the ball was purple again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
17	5	"First"	"Thought"	"Good"	"beige"	"pink"	"beige"	"pink"	"beige"	"beige"	"Buffy thought that, when it was drawn, the ball was beige"	"As a matter of fact, her <em>draw</em> guess was correct"
17	6	"First"	"Was"	"Good"	"beige"	"pink"	"beige"	"beige"	"beige"	"pink"	"when it was drawn, the ball was beige"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
17	7	"First"	"Thought"	"Fix"	"beige"	"pink"	"pink"	"beige"	"beige"	"beige"	"Buffy thought that, when it was drawn, the ball was beige"	"As a matter of fact, her <em>draw</em> guess was correct"
17	8	"First"	"Was"	"Fix"	"beige"	"pink"	"beige"	"beige"	"pink"	"beige"	"when it was drawn, the ball was beige"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
17	9	"Second"	"Thought"	"Good"	"beige"	"pink"	"beige"	"beige"	"pink"	"beige"	"Buffy thought that, after the shake, the ball would be beige"	"As a matter of fact, her <em>shake</em> guess was correct"
17	10	"Second"	"Was"	"Good"	"beige"	"pink"	"beige"	"beige"	"pink"	"beige"	"after the shake, the ball was beige"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
17	11	"Second"	"Thought"	"Fix"	"beige"	"pink"	"beige"	"pink"	"beige"	"beige"	"Buffy thought that, after the shake, the ball would be beige"	"As a matter of fact, her <em>shake</em> guess was correct"
17	12	"Second"	"Was"	"Fix"	"beige"	"pink"	"beige"	"beige"	"beige"	"pink"	"after the shake, the ball was beige"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
17	1	"Again"	"Thought"	"Test-Ent"	"beige"	"pink"	"pink"	"beige"	"beige"	"beige"	"Buffy thought that, after the shake, the ball would be beige again"	"As a matter of fact, her <em>shake</em> guess was correct"
17	2	"Again"	"Was"	"Good"	"beige"	"pink"	"pink"	"beige"	"beige"	"beige"	"after the shake, the ball was beige again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
17	3	"Again"	"Thought"	"Test-Proj"	"beige"	"pink"	"beige"	"beige"	"pink"	"beige"	"Buffy thought that, after the shake, the ball would be beige again"	"As a matter of fact, her <em>shake</em> guess was correct"
17	4	"Again"	"Was"	"Fix"	"beige"	"pink"	"beige"	"beige"	"pink"	"beige"	"after the shake, the ball was beige again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
18	6	"First"	"Thought"	"Good"	"cyan"	"orange"	"cyan"	"orange"	"cyan"	"cyan"	"Buffy thought that, when it was drawn, the ball was cyan"	"As a matter of fact, her <em>draw</em> guess was correct"
18	7	"First"	"Was"	"Good"	"cyan"	"orange"	"cyan"	"cyan"	"cyan"	"orange"	"when it was drawn, the ball was cyan"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
18	8	"First"	"Thought"	"Fix"	"cyan"	"orange"	"orange"	"cyan"	"cyan"	"cyan"	"Buffy thought that, when it was drawn, the ball was cyan"	"As a matter of fact, her <em>draw</em> guess was correct"
18	9	"First"	"Was"	"Fix"	"cyan"	"orange"	"cyan"	"cyan"	"orange"	"cyan"	"when it was drawn, the ball was cyan"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
18	10	"Second"	"Thought"	"Good"	"cyan"	"orange"	"cyan"	"cyan"	"orange"	"cyan"	"Buffy thought that, after the shake, the ball would be cyan"	"As a matter of fact, her <em>shake</em> guess was correct"
18	11	"Second"	"Was"	"Good"	"cyan"	"orange"	"cyan"	"cyan"	"orange"	"cyan"	"after the shake, the ball was cyan"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
18	12	"Second"	"Thought"	"Fix"	"cyan"	"orange"	"cyan"	"orange"	"cyan"	"cyan"	"Buffy thought that, after the shake, the ball would be cyan"	"As a matter of fact, her <em>shake</em> guess was correct"
18	1	"Second"	"Was"	"Fix"	"cyan"	"orange"	"cyan"	"cyan"	"cyan"	"orange"	"after the shake, the ball was cyan"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
18	2	"Again"	"Thought"	"Test-Ent"	"cyan"	"orange"	"orange"	"cyan"	"cyan"	"cyan"	"Buffy thought that, after the shake, the ball would be cyan again"	"As a matter of fact, her <em>shake</em> guess was correct"
18	3	"Again"	"Was"	"Good"	"cyan"	"orange"	"orange"	"cyan"	"cyan"	"cyan"	"after the shake, the ball was cyan again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
18	4	"Again"	"Thought"	"Test-Proj"	"cyan"	"orange"	"cyan"	"cyan"	"orange"	"cyan"	"Buffy thought that, after the shake, the ball would be cyan again"	"As a matter of fact, her <em>shake</em> guess was correct"
18	5	"Again"	"Was"	"Fix"	"cyan"	"orange"	"cyan"	"cyan"	"orange"	"cyan"	"after the shake, the ball was cyan again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
19	7	"First"	"Thought"	"Good"	"green"	"orange"	"green"	"orange"	"green"	"green"	"Buffy thought that, when it was drawn, the ball was green"	"As a matter of fact, her <em>draw</em> guess was correct"
19	8	"First"	"Was"	"Good"	"green"	"orange"	"green"	"green"	"green"	"orange"	"when it was drawn, the ball was green"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
19	9	"First"	"Thought"	"Fix"	"green"	"orange"	"orange"	"green"	"green"	"green"	"Buffy thought that, when it was drawn, the ball was green"	"As a matter of fact, her <em>draw</em> guess was correct"
19	10	"First"	"Was"	"Fix"	"green"	"orange"	"green"	"green"	"orange"	"green"	"when it was drawn, the ball was green"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
19	11	"Second"	"Thought"	"Good"	"green"	"orange"	"green"	"green"	"orange"	"green"	"Buffy thought that, after the shake, the ball would be green"	"As a matter of fact, her <em>shake</em> guess was correct"
19	12	"Second"	"Was"	"Good"	"green"	"orange"	"green"	"green"	"orange"	"green"	"after the shake, the ball was green"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
19	1	"Second"	"Thought"	"Fix"	"green"	"orange"	"green"	"orange"	"green"	"green"	"Buffy thought that, after the shake, the ball would be green"	"As a matter of fact, her <em>shake</em> guess was correct"
19	2	"Second"	"Was"	"Fix"	"green"	"orange"	"green"	"green"	"green"	"orange"	"after the shake, the ball was green"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
19	3	"Again"	"Thought"	"Test-Ent"	"green"	"orange"	"orange"	"green"	"green"	"green"	"Buffy thought that, after the shake, the ball would be green again"	"As a matter of fact, her <em>shake</em> guess was correct"
19	4	"Again"	"Was"	"Good"	"green"	"orange"	"orange"	"green"	"green"	"green"	"after the shake, the ball was green again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
19	5	"Again"	"Thought"	"Test-Proj"	"green"	"orange"	"green"	"green"	"orange"	"green"	"Buffy thought that, after the shake, the ball would be green again"	"As a matter of fact, her <em>shake</em> guess was correct"
19	6	"Again"	"Was"	"Fix"	"green"	"orange"	"green"	"green"	"orange"	"green"	"after the shake, the ball was green again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
20	8	"First"	"Thought"	"Good"	"yellow"	"brown"	"yellow"	"brown"	"yellow"	"yellow"	"Buffy thought that, when it was drawn, the ball was yellow"	"As a matter of fact, her <em>draw</em> guess was correct"
20	9	"First"	"Was"	"Good"	"yellow"	"brown"	"yellow"	"yellow"	"yellow"	"brown"	"when it was drawn, the ball was yellow"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
20	10	"First"	"Thought"	"Fix"	"yellow"	"brown"	"brown"	"yellow"	"yellow"	"yellow"	"Buffy thought that, when it was drawn, the ball was yellow"	"As a matter of fact, her <em>draw</em> guess was correct"
20	11	"First"	"Was"	"Fix"	"yellow"	"brown"	"yellow"	"yellow"	"brown"	"yellow"	"when it was drawn, the ball was yellow"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
20	12	"Second"	"Thought"	"Good"	"yellow"	"brown"	"yellow"	"yellow"	"brown"	"yellow"	"Buffy thought that, after the shake, the ball would be yellow"	"As a matter of fact, her <em>shake</em> guess was correct"
20	1	"Second"	"Was"	"Good"	"yellow"	"brown"	"yellow"	"yellow"	"brown"	"yellow"	"after the shake, the ball was yellow"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
20	2	"Second"	"Thought"	"Fix"	"yellow"	"brown"	"yellow"	"brown"	"yellow"	"yellow"	"Buffy thought that, after the shake, the ball would be yellow"	"As a matter of fact, her <em>shake</em> guess was correct"
20	3	"Second"	"Was"	"Fix"	"yellow"	"brown"	"yellow"	"yellow"	"yellow"	"brown"	"after the shake, the ball was yellow"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
20	4	"Again"	"Thought"	"Test-Ent"	"yellow"	"brown"	"brown"	"yellow"	"yellow"	"yellow"	"Buffy thought that, after the shake, the ball would be yellow again"	"As a matter of fact, her <em>shake</em> guess was correct"
20	5	"Again"	"Was"	"Good"	"yellow"	"brown"	"brown"	"yellow"	"yellow"	"yellow"	"after the shake, the ball was yellow again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
20	6	"Again"	"Thought"	"Test-Proj"	"yellow"	"brown"	"yellow"	"yellow"	"brown"	"yellow"	"Buffy thought that, after the shake, the ball would be yellow again"	"As a matter of fact, her <em>shake</em> guess was correct"
20	7	"Again"	"Was"	"Fix"	"yellow"	"brown"	"yellow"	"yellow"	"brown"	"yellow"	"after the shake, the ball was yellow again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
21	9	"First"	"Thought"	"Good"	"blue"	"violet"	"blue"	"violet"	"blue"	"blue"	"Buffy thought that, when it was drawn, the ball was blue"	"As a matter of fact, her <em>draw</em> guess was correct"
21	10	"First"	"Was"	"Good"	"blue"	"violet"	"blue"	"blue"	"blue"	"violet"	"when it was drawn, the ball was blue"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
21	11	"First"	"Thought"	"Fix"	"blue"	"violet"	"violet"	"blue"	"blue"	"blue"	"Buffy thought that, when it was drawn, the ball was blue"	"As a matter of fact, her <em>draw</em> guess was correct"
21	12	"First"	"Was"	"Fix"	"blue"	"violet"	"blue"	"blue"	"violet"	"blue"	"when it was drawn, the ball was blue"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
21	1	"Second"	"Thought"	"Good"	"blue"	"violet"	"blue"	"blue"	"violet"	"blue"	"Buffy thought that, after the shake, the ball would be blue"	"As a matter of fact, her <em>shake</em> guess was correct"
21	2	"Second"	"Was"	"Good"	"blue"	"violet"	"blue"	"blue"	"violet"	"blue"	"after the shake, the ball was blue"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
21	3	"Second"	"Thought"	"Fix"	"blue"	"violet"	"blue"	"violet"	"blue"	"blue"	"Buffy thought that, after the shake, the ball would be blue"	"As a matter of fact, her <em>shake</em> guess was correct"
21	4	"Second"	"Was"	"Fix"	"blue"	"violet"	"blue"	"blue"	"blue"	"violet"	"after the shake, the ball was blue"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
21	5	"Again"	"Thought"	"Test-Ent"	"blue"	"violet"	"violet"	"blue"	"blue"	"blue"	"Buffy thought that, after the shake, the ball would be blue again"	"As a matter of fact, her <em>shake</em> guess was correct"
21	6	"Again"	"Was"	"Good"	"blue"	"violet"	"violet"	"blue"	"blue"	"blue"	"after the shake, the ball was blue again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
21	7	"Again"	"Thought"	"Test-Proj"	"blue"	"violet"	"blue"	"blue"	"violet"	"blue"	"Buffy thought that, after the shake, the ball would be blue again"	"As a matter of fact, her <em>shake</em> guess was correct"
21	8	"Again"	"Was"	"Fix"	"blue"	"violet"	"blue"	"blue"	"violet"	"blue"	"after the shake, the ball was blue again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
22	10	"First"	"Thought"	"Good"	"purple"	"gold"	"purple"	"gold"	"purple"	"purple"	"Buffy thought that, when it was drawn, the ball was purple"	"As a matter of fact, her <em>draw</em> guess was correct"
22	11	"First"	"Was"	"Good"	"purple"	"gold"	"purple"	"purple"	"purple"	"gold"	"when it was drawn, the ball was purple"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
22	12	"First"	"Thought"	"Fix"	"purple"	"gold"	"gold"	"purple"	"purple"	"purple"	"Buffy thought that, when it was drawn, the ball was purple"	"As a matter of fact, her <em>draw</em> guess was correct"
22	1	"First"	"Was"	"Fix"	"purple"	"gold"	"purple"	"purple"	"gold"	"purple"	"when it was drawn, the ball was purple"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
22	2	"Second"	"Thought"	"Good"	"purple"	"gold"	"purple"	"purple"	"gold"	"purple"	"Buffy thought that, after the shake, the ball would be purple"	"As a matter of fact, her <em>shake</em> guess was correct"
22	3	"Second"	"Was"	"Good"	"purple"	"gold"	"purple"	"purple"	"gold"	"purple"	"after the shake, the ball was purple"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
22	4	"Second"	"Thought"	"Fix"	"purple"	"gold"	"purple"	"gold"	"purple"	"purple"	"Buffy thought that, after the shake, the ball would be purple"	"As a matter of fact, her <em>shake</em> guess was correct"
22	5	"Second"	"Was"	"Fix"	"purple"	"gold"	"purple"	"purple"	"purple"	"gold"	"after the shake, the ball was purple"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
22	6	"Again"	"Thought"	"Test-Ent"	"purple"	"gold"	"gold"	"purple"	"purple"	"purple"	"Buffy thought that, after the shake, the ball would be purple again"	"As a matter of fact, her <em>shake</em> guess was correct"
22	7	"Again"	"Was"	"Good"	"purple"	"gold"	"gold"	"purple"	"purple"	"purple"	"after the shake, the ball was purple again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
22	8	"Again"	"Thought"	"Test-Proj"	"purple"	"gold"	"purple"	"purple"	"gold"	"purple"	"Buffy thought that, after the shake, the ball would be purple again"	"As a matter of fact, her <em>shake</em> guess was correct"
22	9	"Again"	"Was"	"Fix"	"purple"	"gold"	"purple"	"purple"	"gold"	"purple"	"after the shake, the ball was purple again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
23	11	"First"	"Thought"	"Good"	"beige"	"red"	"beige"	"red"	"beige"	"beige"	"Buffy thought that, when it was drawn, the ball was beige"	"As a matter of fact, her <em>draw</em> guess was correct"
23	12	"First"	"Was"	"Good"	"beige"	"red"	"beige"	"beige"	"beige"	"red"	"when it was drawn, the ball was beige"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
23	1	"First"	"Thought"	"Fix"	"beige"	"red"	"red"	"beige"	"beige"	"beige"	"Buffy thought that, when it was drawn, the ball was beige"	"As a matter of fact, her <em>draw</em> guess was correct"
23	2	"First"	"Was"	"Fix"	"beige"	"red"	"beige"	"beige"	"red"	"beige"	"when it was drawn, the ball was beige"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
23	3	"Second"	"Thought"	"Good"	"beige"	"red"	"beige"	"beige"	"red"	"beige"	"Buffy thought that, after the shake, the ball would be beige"	"As a matter of fact, her <em>shake</em> guess was correct"
23	4	"Second"	"Was"	"Good"	"beige"	"red"	"beige"	"beige"	"red"	"beige"	"after the shake, the ball was beige"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
23	5	"Second"	"Thought"	"Fix"	"beige"	"red"	"beige"	"red"	"beige"	"beige"	"Buffy thought that, after the shake, the ball would be beige"	"As a matter of fact, her <em>shake</em> guess was correct"
23	6	"Second"	"Was"	"Fix"	"beige"	"red"	"beige"	"beige"	"beige"	"red"	"after the shake, the ball was beige"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
23	7	"Again"	"Thought"	"Test-Ent"	"beige"	"red"	"red"	"beige"	"beige"	"beige"	"Buffy thought that, after the shake, the ball would be beige again"	"As a matter of fact, her <em>shake</em> guess was correct"
23	8	"Again"	"Was"	"Good"	"beige"	"red"	"red"	"beige"	"beige"	"beige"	"after the shake, the ball was beige again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
23	9	"Again"	"Thought"	"Test-Proj"	"beige"	"red"	"beige"	"beige"	"red"	"beige"	"Buffy thought that, after the shake, the ball would be beige again"	"As a matter of fact, her <em>shake</em> guess was correct"
23	10	"Again"	"Was"	"Fix"	"beige"	"red"	"beige"	"beige"	"red"	"beige"	"after the shake, the ball was beige again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
24	12	"First"	"Thought"	"Good"	"cyan"	"pink"	"cyan"	"pink"	"cyan"	"cyan"	"Buffy thought that, when it was drawn, the ball was cyan"	"As a matter of fact, her <em>draw</em> guess was correct"
24	1	"First"	"Was"	"Good"	"cyan"	"pink"	"cyan"	"cyan"	"cyan"	"pink"	"when it was drawn, the ball was cyan"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
24	2	"First"	"Thought"	"Fix"	"cyan"	"pink"	"pink"	"cyan"	"cyan"	"cyan"	"Buffy thought that, when it was drawn, the ball was cyan"	"As a matter of fact, her <em>draw</em> guess was correct"
24	3	"First"	"Was"	"Fix"	"cyan"	"pink"	"cyan"	"cyan"	"pink"	"cyan"	"when it was drawn, the ball was cyan"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
24	4	"Second"	"Thought"	"Good"	"cyan"	"pink"	"cyan"	"cyan"	"pink"	"cyan"	"Buffy thought that, after the shake, the ball would be cyan"	"As a matter of fact, her <em>shake</em> guess was correct"
24	5	"Second"	"Was"	"Good"	"cyan"	"pink"	"cyan"	"cyan"	"pink"	"cyan"	"after the shake, the ball was cyan"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
24	6	"Second"	"Thought"	"Fix"	"cyan"	"pink"	"cyan"	"pink"	"cyan"	"cyan"	"Buffy thought that, after the shake, the ball would be cyan"	"As a matter of fact, her <em>shake</em> guess was correct"
24	7	"Second"	"Was"	"Fix"	"cyan"	"pink"	"cyan"	"cyan"	"cyan"	"pink"	"after the shake, the ball was cyan"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
24	8	"Again"	"Thought"	"Test-Ent"	"cyan"	"pink"	"pink"	"cyan"	"cyan"	"cyan"	"Buffy thought that, after the shake, the ball would be cyan again"	"As a matter of fact, her <em>shake</em> guess was correct"
